Message Type,Received UTC,MMSI,Ship Name,Latitude,Longitude,Speed Over Ground (knots),Course Over Ground,True Heading,Timestamp (sec),Is Valid,Call Sign,Destination,Ship Type,Dimensions
PositionReport,15:03:00,240544000,SEAVEN GLORY,37.91438,23.56288,0.0,320.0,191.0,57.0,True,,,,
PositionReport,15:03:00,248056000,RILA,37.06882,3.03491,9.8,79.5,79.0,53.0,True,,,,
PositionReport,15:03:01,247405700,HYDRA,40.57213,14.31452,22.2,163.1,511.0,59.0,True,,,,
PositionReport,15:03:01,238040910,KAMEN VELIKI,45.55873,13.74476,0.0,270.0,270.0,60.0,True,,,,
StaticDataReport,15:03:01,256001533,,41.43322,2.24109,,,,,True,,,,
StandardClassBPositionReport,15:03:01,256004220,TRIUMPH II,43.63437,7.13946,0.0,360.0,511.0,59.0,True,,,,
DataLinkManagementMessage,15:03:01,2070817,,42.30756,27.75846,,,,,True,,,,
PositionReport,15:03:01,225366000,CERVANTES SAAVEDRA,39.46036,-0.31428,0.0,27.1,511.0,58.0,True,,,,
PositionReport,15:03:01,314663000,MEMNUNE K,36.05516,24.34867,8.1,270.3,273.0,59.0,True,,,,
ShipStaticData,15:03:01,224121270,VB SUPERNACHO,39.96054,0.02631,,,,,True,EADM,ESCAS,52.0,"{'A': 11, 'B': 20, 'C': 8, 'D': 3}"
PositionReport,15:03:01,240708000,AEGEAN III,38.22703,21.71883,0.0,178.0,20.0,60.0,True,,,,
ShipStaticData,15:03:01,273270940,VOZROZHDENIYE,36.82131,0.42201,,,,,True,UAZD8,BALTIC SEA FOR  ORDE,80.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}"
PositionReport,15:03:01,278916000,MERCUR,45.55766,13.7214,2.0,213.0,213.0,60.0,True,,,,
PositionReport,15:03:01,247177600,CITTA DI CAMOGLI,44.30738,9.17739,18.2,296.2,511.0,0.0,True,,,,
PositionReport,15:03:01,224271630,VB DORAMAS,39.64572,-0.21286,0.0,218.0,181.0,60.0,True,,,,
PositionReport,15:03:01,563186300,HAFNIA AMMOLITE,43.93196,8.90634,0.2,172.9,92.0,58.0,True,,,,
AidsToNavigationReport,15:03:01,992476404,,41.05972,9.59028,,,,60.0,True,,,0.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}"
StaticDataReport,15:03:01,224102240,KAPY,38.33964,-0.4842,,,,,True,,,,
ShipStaticData,15:03:01,247530300,GNV AURORA,39.64655,1.05733,,,,,True,IBPC,MAPTM,60.0,"{'A': 23, 'B': 195, 'C': 18, 'D': 12}"
StandardClassBPositionReport,15:03:01,248000901,MR.MAVERICK,43.58598,7.12415,0.0,360.0,511.0,59.0,True,,,,
StandardClassBPositionReport,15:03:01,218040280,NOW,39.48707,2.47605,0.0,0.0,0.0,60.0,True,,,,
