MMSI,Ship Name,lat,lon,low_confidence,n_pings,score,is_anomalous,flags,reason
248000709,ZIACANAIA,40.71844,14.47574,True,2,,,,only 2 ping(s) - not enough data to score reliably
248000893,SANTA MARIA T,39.42445,-0.3206,True,1,,,,only 1 ping(s) - not enough data to score reliably
248000901,MR.MAVERICK,43.58598,7.12415,False,7,0.95,False,,
248000903,LE TRE SORELLE,43.78357,7.51883,True,1,,,,only 1 ping(s) - not enough data to score reliably
248011000,ATHLOS,37.19573,15.20157,False,3,0.61,False,,
248025000,CANVAS,44.40625,8.92034,True,2,,,,only 2 ping(s) - not enough data to score reliably
248033000,EMERALD,40.44662,17.19295,False,4,0.76,False,,
248045000,ALI CAN BAYRAK,37.0119,-0.87153,False,8,1.08,False,,
248054000,MED ARCTIC,37.23275,15.205,False,7,0.73,False,,
248056000,RILA,37.06882,3.03491,False,21,0.88,False,,
248058000,CETI,37.91136,23.04209,True,2,,,,only 2 ping(s) - not enough data to score reliably
248059000,ARESTEAS,40.70283,14.467,False,3,1.01,False,signal gap of 730s,
248060000,SYNTHESIS 66,40.5629,14.22502,False,5,1.12,False,,
248069000,KATANA X,43.75812,7.48968,False,6,1.09,False,,
248070000,AVANTAGE,43.73697,7.42925,False,4,0.62,False,,
248072000,SUI GENERIS,37.96116,23.57431,True,2,,,,only 2 ping(s) - not enough data to score reliably
248073000,INDIGO,43.54187,10.29754,False,6,0.75,False,,
248083000,SWEET MARYI,37.92934,23.68265,True,2,,,,only 2 ping(s) - not enough data to score reliably
248099000,JAGUAR,37.96097,23.57509,True,1,,,,only 1 ping(s) - not enough data to score reliably
248100000,POKROV,39.42606,-0.32847,False,6,0.63,False,,
248101000,WILLOW,41.59067,8.73914,False,16,1.34,False,,
248111000,ANOMALY,41.43355,2.23994,False,3,1.12,False,,
248112000,CAPRI I,37.93881,23.66876,False,4,0.6,False,,
248115000,IS A ROSE,43.54191,10.29622,False,5,1.05,False,,
248116000,AURA I,39.0277,2.66959,True,1,,,,only 1 ping(s) - not enough data to score reliably
248119000,,39.0582,9.08766,True,2,,,,only 2 ping(s) - not enough data to score reliably
248130000,2 J'S OF LONDON,43.78879,7.60081,False,3,1.0,False,,
248136000,POLARIS PRINCESS,42.20033,10.91671,False,16,0.99,False,,
248141000,MARIA VITTORIA Z,44.38574,8.92723,False,18,1.22,False,,
248152000,TOUCH ME,43.73611,7.42761,False,3,1.09,False,,
248157000,HEED,40.6954,13.9136,True,2,,,,only 2 ping(s) - not enough data to score reliably
248166000,BIG ESCAPE,38.68544,1.38097,True,1,,,,only 1 ping(s) - not enough data to score reliably
248169000,BELLE BRISE,43.54191,10.29696,True,1,,,,only 1 ping(s) - not enough data to score reliably
248191000,JAMON,43.5842,7.12527,True,2,,,,only 2 ping(s) - not enough data to score reliably
248198000,EMOTION2,37.93278,23.64764,False,3,0.51,False,,
248216000,MINERVA KALLIRROI,42.39414,28.27249,False,11,1.09,False,,
248223000,HOW MUCH IS ENOUGH,38.36623,20.71499,True,1,,,,only 1 ping(s) - not enough data to score reliably
248233000,DOJO,43.7361,7.42659,False,3,1.25,False,signal gap of 901s,
248244000,M/Y TENACITY,43.27255,6.63365,True,2,,,,only 2 ping(s) - not enough data to score reliably
248258000,Y4H,39.5572,2.62702,False,5,0.88,False,,
248281000,ALADDIN----------,43.73669,7.42363,False,3,1.09,False,,
248284000,A2,43.52689,7.15111,False,12,1.4,False,implied speed of 51 kts between pings (physically implausible),
248289000,GENTLEMAN,43.2436,6.7132,False,4,0.57,False,,
248310000,BLACK LEGEND,43.56571,7.07866,False,4,1.13,False,signal gap of 734s,
248328000,BLACK SAILS,43.10189,5.90611,False,5,1.1,False,,
248335000,M/S ZELDA,36.98866,27.51273,True,1,,,,only 1 ping(s) - not enough data to score reliably
248338000,KYTHIRA,31.64115,31.82632,False,5,1.53,False,signal gap of 874s,
248344000,IDOL,43.73493,7.4239,False,4,0.78,False,,
248353000,PICCOLINO,43.72882,7.42119,True,1,,,,only 1 ping(s) - not enough data to score reliably
248365000,OPTION B,37.93044,23.68407,False,3,1.04,False,signal gap of 748s,
248446000,ELEMENTS,37.02496,27.43809,False,15,1.08,False,,
248457000,VENEZIA,31.20442,29.71284,False,7,1.23,False,,
